id,scheduled,duration_TM,waitingTime_TM,timeLoss_TM,routeLength_TM,departDelay_TM,rerouteNo_TM,duration_RL,waitingTime_RL,timeLoss_RL,routeLength_RL,departDelay_RL,rerouteNo_RL
veh7470,2478.0,2441.0,1957.0,2269.11,2354.62,0.0,29.0,750.0,416.0,575.46,2413.41,0.0,1.0
veh7471,2479.0,2296.0,1635.0,2006.77,3969.86,2112.0,19.0,3106.0,2508.0,2838.74,2836.28,667.0,27.0
veh7473,2479.0,908.0,586.0,777.4,1768.14,0.0,5.0,532.0,263.0,401.15,1756.02,0.0,1.0
veh7474,2480.0,290.0,147.0,184.13,1291.71,0.0,2.0,231.0,100.0,124.99,1291.71,0.0,1.0
veh7475,2480.0,371.0,239.0,318.89,720.78,0.0,1.0,1006.0,876.0,954.15,720.78,0.0,8.0
veh7476,2480.0,228.0,145.0,176.1,688.5,103.0,1.0,126.0,51.0,75.03,688.5,52.0,1.0
veh7477,2481.0,734.0,484.0,591.52,1720.23,0.0,3.0,906.0,626.0,763.89,1738.26,0.0,8.0
veh7478,2481.0,554.0,279.0,413.26,1752.9,1240.0,4.0,554.0,386.0,457.23,1215.56,156.0,1.0
veh7479,2481.0,639.0,369.0,475.85,2055.44,90.0,2.0,1040.0,737.0,880.8,1975.52,279.0,15.0
veh748,248.0,440.0,234.0,290.39,2045.64,0.0,2.0,627.0,412.0,477.39,2051.91,0.0,2.0
veh7480,2482.0,734.0,482.0,622.96,1524.87,272.0,4.0,358.0,134.0,212.89,1987.33,18.0,3.0
veh7481,2482.0,890.0,604.0,760.56,1758.61,0.0,9.0,599.0,337.0,466.53,1825.56,0.0,3.0
veh7482,2482.0,746.0,518.0,635.43,1472.84,105.0,5.0,410.0,223.0,299.73,1476.17,79.0,1.0
veh7483,2482.0,341.0,159.0,223.19,1522.62,0.0,3.0,439.0,210.0,282.14,2015.79,0.0,2.0
veh7484,2483.0,359.0,168.0,234.0,1479.37,2.0,1.0,143.0,0.0,14.99,1529.0,0.0,1.0
veh7485,2483.0,664.0,387.0,505.97,2053.02,0.0,4.0,253.0,59.0,95.24,2051.91,0.0,1.0
veh7486,2483.0,371.0,166.0,241.85,1743.65,0.0,1.0,352.0,182.0,262.17,1204.31,0.0,1.0
veh7487,2484.0,403.0,230.0,269.39,1852.79,0.0,2.0,311.0,149.0,177.1,1852.79,6.0,1.0
veh7488,2484.0,2303.0,2065.0,2232.4,961.69,0.0,13.0,1840.0,1609.0,1723.7,1492.19,0.0,18.0
veh7489,2484.0,409.0,230.0,286.78,1450.56,17.0,2.0,153.0,51.0,75.61,912.98,2.0,1.0
veh749,248.0,97.0,47.0,65.25,413.16,0.0,1.0,92.0,49.0,60.25,413.16,1.0,1.0
veh7490,2485.0,1395.0,1103.0,1245.46,2047.39,0.0,3.0,4053.0,3589.0,3802.18,2547.88,0.0,34.0
veh7492,2485.0,499.0,274.0,371.07,1735.87,2.0,3.0,933.0,785.0,841.14,1199.43,0.0,1.0
veh7493,2486.0,1713.0,1220.0,1503.46,2897.44,2124.0,15.0,1209.0,866.0,1040.06,2333.72,663.0,12.0
veh7494,2486.0,668.0,418.0,536.32,1796.33,60.0,5.0,343.0,158.0,212.57,1769.82,24.0,1.0
veh7495,2486.0,450.0,278.0,376.64,961.02,9.0,1.0,390.0,229.0,316.74,961.02,6.0,1.0
veh7496,2487.0,129.0,55.0,78.18,694.68,0.0,1.0,136.0,64.0,84.77,694.68,0.0,1.0
veh7497,2487.0,1325.0,858.0,1115.14,2869.26,0.0,15.0,1053.0,667.0,840.47,2936.21,0.0,8.0
veh7498,2487.0,1338.0,1009.0,1149.33,2351.6,62.0,3.0,3282.0,2851.0,3008.23,2770.31,0.0,31.0
veh7499,2488.0,632.0,445.0,533.22,1258.58,16.0,1.0,547.0,369.0,449.29,1237.4,3.0,2.0
veh75,24.0,222.0,97.0,129.94,1229.96,4.0,1.0,217.0,101.0,124.73,1229.96,4.0,1.0
veh750,248.0,311.0,177.0,218.84,1280.14,15.0,1.0,244.0,117.0,151.31,1280.14,3.0,1.0
veh7500,2488.0,453.0,182.0,287.89,2108.28,0.0,5.0,374.0,161.0,207.62,2131.74,9.0,3.0
veh7501,2488.0,1755.0,1122.0,1451.98,3476.2,2.0,20.0,922.0,588.0,715.78,2372.73,2.0,3.0
veh7502,2489.0,312.0,208.0,260.11,694.11,0.0,1.0,348.0,217.0,258.13,1190.02,0.0,1.0
veh7504,2489.0,246.0,107.0,158.0,1196.48,0.0,1.0,306.0,162.0,214.12,1251.55,0.0,1.0
veh7505,2490.0,253.0,93.0,143.39,1489.61,266.0,4.0,292.0,145.0,181.04,1513.13,30.0,2.0
veh7506,2490.0,856.0,522.0,647.3,2861.82,0.0,8.0,2286.0,1880.0,2075.09,2898.49,113.0,28.0
veh7507,2490.0,1832.0,1253.0,1563.68,3664.56,127.0,13.0,3198.0,2458.0,2793.84,3624.74,342.0,26.0
veh7508,2491.0,385.0,243.0,314.21,974.35,27.0,2.0,140.0,54.0,69.04,974.35,0.0,1.0
veh7509,2491.0,929.0,527.0,668.71,3034.31,0.0,4.0,539.0,344.0,412.22,1497.53,0.0,4.0
veh751,249.0,178.0,84.0,127.29,696.62,0.0,1.0,265.0,150.0,214.01,696.62,0.0,1.0
veh7510,2491.0,761.0,594.0,688.57,1002.27,40.0,4.0,290.0,114.0,181.52,1479.47,5.0,2.0
veh7511,2492.0,931.0,669.0,809.94,1540.55,0.0,5.0,890.0,660.0,774.15,1437.14,0.0,4.0
veh7512,2492.0,500.0,309.0,389.35,1522.62,0.0,3.0,432.0,197.0,282.87,2015.79,0.0,2.0
veh7513,2492.0,2511.0,1948.0,2324.39,2549.08,0.0,25.0,921.0,576.0,727.1,2694.97,1.0,6.0
veh7514,2493.0,214.0,120.0,145.15,938.68,0.0,1.0,204.0,106.0,134.45,938.68,0.0,1.0
veh7515,2493.0,575.0,367.0,483.38,1247.51,7.0,2.0,544.0,356.0,456.04,1191.51,9.0,1.0
veh7516,2493.0,347.0,171.0,237.84,1489.19,3.0,1.0,264.0,116.0,155.05,1477.54,0.0,1.0
veh7517,2494.0,201.0,139.0,169.31,418.99,13.0,1.0,44.0,2.0,11.96,418.99,0.0,1.0
veh7518,2494.0,1959.0,1512.0,1787.91,2258.82,2.0,17.0,914.0,597.0,738.26,2389.0,2.0,7.0
veh7519,2494.0,403.0,221.0,314.23,1212.0,1.0,2.0,222.0,98.0,132.82,1212.0,0.0,1.0
veh752,249.0,131.0,61.0,72.15,718.62,2.0,1.0,135.0,60.0,75.86,718.62,3.0,1.0
veh7520,2495.0,1730.0,1190.0,1535.6,2625.04,0.0,16.0,2401.0,1950.0,2244.25,2143.07,50.0,7.0
veh7521,2495.0,1519.0,1263.0,1416.29,1235.05,175.0,6.0,2168.0,1637.0,2018.97,1790.25,268.0,13.0
veh7522,2495.0,913.0,539.0,686.9,2356.99,125.0,4.0,913.0,550.0,686.98,2356.99,400.0,12.0
veh7523,2496.0,582.0,348.0,490.5,1262.01,0.0,3.0,227.0,95.0,135.39,1262.01,4.0,2.0
veh7524,2496.0,283.0,122.0,173.13,1495.47,2.0,1.0,318.0,204.0,247.29,960.26,0.0,1.0
veh7525,2496.0,1172.0,731.0,927.0,3057.44,4.0,12.0,341.0,82.0,134.73,2615.82,0.0,2.0
veh7526,2497.0,2653.0,1871.0,2329.89,4352.43,1.0,25.0,2673.0,2080.0,2383.43,3963.69,31.0,38.0
veh7527,2497.0,459.0,243.0,307.33,2095.9,0.0,2.0,277.0,95.0,167.2,1512.9,11.0,1.0
veh7528,2497.0,284.0,160.0,233.39,681.02,13.0,1.0,278.0,166.0,227.97,681.02,14.0,1.0
