time,tls,d0,d1,d2,d3
1440,F1,24,22,22,22
1440,F2,60,10,10,10
1440,F3,60,10,10,10
1440,F4,24,22,22,22
1440,F5,10,60,10,10
1530,A0,51,13,13,13
1530,A1,24,22,22,22
1530,A2,11,11,57,11
1530,A4,60,10,10,10
1530,A5,30,20,20,20
1530,B0,24,22,22,22
1530,B1,21,27,21,21
1530,B2,24,22,22,22
1530,B4,24,22,22,22
1530,B5,60,10,10,10
1530,C0,21,21,27,21
1530,C1,24,22,22,22
1530,C2,57,13,10,10
1530,C3,60,10,10,10
1530,C4,60,10,10,10
1530,C5,57,11,11,11
1530,D0,24,22,22,22
1530,D1,20,20,30,20
1530,D2,48,14,14,14
1530,D3,24,22,22,22
1530,D4,24,22,22,22
1530,D5,12,12,54,12
1530,E0,24,22,22,22
1530,E1,24,22,22,22
1530,E2,24,22,22,22
1530,E3,60,10,10,10
1530,E4,11,11,57,11
1530,E5,10,10,60,10
1530,F0,24,22,22,22
1530,F1,24,22,22,22
1530,F2,60,10,10,10
1530,F3,60,10,10,10
1530,F4,24,22,22,22
1530,F5,10,60,10,10
1620,A0,51,13,13,13
1620,A1,24,22,22,22
1620,A2,11,11,57,11
1620,A4,60,10,10,10
1620,A5,30,20,20,20
1620,B0,24,22,22,22
1620,B1,24,22,22,22
1620,B2,24,22,22,22
1620,B4,24,22,22,22
1620,B5,60,10,10,10
1620,C0,22,22,24,22
1620,C1,24,22,22,22
1620,C2,58,12,10,10
1620,C3,60,10,10,10
1620,C4,60,10,10,10
1620,C5,57,11,11,11
1620,D0,24,22,22,22
1620,D1,21,21,27,21
1620,D2,45,15,15,15
1620,D3,24,22,22,22
1620,D4,24,22,22,22
1620,D5,12,12,54,12
1620,E0,24,22,22,22
1620,E1,24,22,22,22
1620,E2,24,22,22,22
1620,E3,60,10,10,10
1620,E4,11,11,57,11
1620,E5,10,10,60,10
1620,F0,24,22,22,22
1620,F1,24,22,22,22
1620,F2,60,10,10,10
1620,F3,60,10,10,10
1620,F4,24,22,22,22
1620,F5,10,60,10,10
1710,A0,51,13,13,13
1710,A1,24,22,22,22
1710,A2,11,11,57,11
1710,A4,60,10,10,10
1710,A5,27,21,21,21
1710,B0,24,22,22,22
1710,B1,24,22,22,22
1710,B2,24,22,22,22
1710,B4,24,22,22,22
1710,B5,60,10,10,10
1710,C0,22,22,24,22
1710,C1,24,22,22,22
1710,C2,58,12,10,10
1710,C3,60,10,10,10
1710,C4,60,10,10,10
1710,C5,57,11,11,11
1710,D0,24,22,22,22
1710,D1,21,21,27,21
1710,D2,45,15,15,15
1710,D3,24,22,22,22
1710,D4,24,22,22,22
1710,D5,13,13,51,13
1710,E0,24,22,22,22
1710,E1,24,22,22,22
1710,E2,24,22,22,22
1710,E3,60,10,10,10
1710,E4,11,11,57,11
1710,E5,10,10,60,10
1710,F0,24,22,22,22
1710,F1,24,22,22,22
1710,F2,60,10,10,10
1710,F3,60,10,10,10
1710,F4,24,22,22,22
1710,F5,10,60,10,10
1800,A0,54,12,12,12
1800,A1,24,22,22,22
1800,A2,11,11,57,11
1800,A4,60,10,10,10
1800,A5,24,22,22,22
1800,B0,24,22,22,22
1800,B1,24,22,22,22
1800,B2,24,22,22,22
1800,B4,24,22,22,22
1800,B5,60,10,10,10
1800,C0,20,20,30,20
1800,C1,24,22,22,22
1800,C2,57,13,10,10
1800,C3,60,10,10,10
1800,C4,57,11,11,11
1800,C5,57,11,11,11
1800,D0,24,22,22,22
1800,D1,20,20,30,20
1800,D2,48,14,14,14
1800,D3,24,22,22,22
1800,D4,24,22,22,22
1800,D5,13,13,51,13
1800,E0,24,22,22,22
1800,E1,24,22,22,22
1800,E2,24,22,22,22
1800,E3,60,10,10,10
1800,E4,11,11,57,11
1800,E5,10,10,60,10
1800,F0,24,22,22,22
1800,F1,24,22,22,22
1800,F2,60,10,10,10
1800,F3,60,10,10,10
1800,F4,24,22,22,22
1800,F5,10,60,10,10
1890,A0,54,12,12,12
1890,A1,24,22,22,22
1890,A2,12,12,54,12
1890,A4,60,10,10,10
1890,A5,24,22,22,22
1890,B0,24,22,22,22
1890,B1,22,24,22,22
1890,B2,24,22,22,22
1890,B4,24,22,22,22
1890,B5,60,10,10,10
1890,C0,20,20,30,20
1890,C1,24,22,22,22
1890,C2,57,13,10,10
1890,C3,60,10,10,10
1890,C4,60,10,10,10
1890,C5,57,11,11,11
1890,D0,24,22,22,22
1890,D1,19,19,33,19
1890,D2,48,14,14,14
1890,D3,24,22,22,22
1890,D4,24,22,22,22
1890,D5,13,13,51,13
1890,E0,24,22,22,22
1890,E1,24,22,22,22
1890,E2,24,22,22,22
1890,E3,60,10,10,10
1890,E4,11,11,57,11
1890,E5,10,10,60,10
1890,F0,24,22,22,22
1890,F1,24,22,22,22
1890,F2,60,10,10,10
1890,F3,60,10,10,10
1890,F4,24,22,22,22
1890,F5,10,60,10,10
1980,A0,54,12,12,12
1980,A1,24,22,22,22
1980,A2,11,11,57,11
1980,A4,60,10,10,10
1980,A5,27,21,21,21
1980,B0,24,22,22,22
1980,B1,24,22,22,22
1980,B2,24,22,22,22
1980,B4,24,22,22,22
1980,B5,60,10,10,10
1980,C0,20,20,30,20
1980,C1,24,22,22,22
1980,C2,58,12,10,10
1980,C3,60,10,10,10
1980,C4,60,10,10,10
1980,C5,57,11,11,11
1980,D0,24,22,22,22
1980,D1,20,20,30,20
1980,D2,45,15,15,15
1980,D3,24,22,22,22
1980,D4,24,22,22,22
1980,D5,13,13,51,13
1980,E0,24,22,22,22
1980,E1,24,22,22,22
1980,E2,24,22,22,22
1980,E3,60,10,10,10
1980,E4,11,11,57,11
1980,E5,10,10,60,10
1980,F0,24,22,22,22
1980,F1,24,22,22,22
1980,F2,60,10,10,10
1980,F3,60,10,10,10
1980,F4,24,22,22,22
1980,F5,10,60,10,10
2070,A0,51,13,13,13
2070,A1,24,22,22,22
2070,A2,11,11,57,11
2070,A4,60,10,10,10
2070,A5,24,22,22,22
2070,B0,24,22,22,22
2070,B1,24,22,22,22
2070,B2,24,22,22,22
2070,B4,24,22,22,22
2070,B5,60,10,10,10
2070,C0,22,22,24,22
2070,C1,24,22,22,22
2070,C2,58,12,10,10
2070,C3,60,10,10,10
2070,C4,60,10,10,10
2070,C5,57,11,11,11
2070,D0,24,22,22,22
2070,D1,21,21,27,21
2070,D2,48,14,14,14
2070,D3,24,22,22,22
2070,D4,24,22,22,22
2070,D5,12,12,54,12
2070,E0,24,22,22,22
2070,E1,24,22,22,22
2070,E2,24,22,22,22
2070,E3,60,10,10,10
2070,E4,11,11,57,11
2070,E5,10,10,60,10
2070,F0,24,22,22,22
2070,F1,24,22,22,22
2070,F2,60,10,10,10
2070,F3,60,10,10,10
2070,F4,24,22,22,22
2070,F5,10,60,10,10
2160,A0,51,13,13,13
2160,A1,24,22,22,22
2160,A2,11,11,57,11
2160,A4,60,10,10,10
2160,A5,24,22,22,22
2160,B0,24,22,22,22
2160,B1,24,22,22,22
2160,B2,24,22,22,22
2160,B4,24,22,22,22
2160,B5,60,10,10,10
2160,C0,22,22,24,22
2160,C1,24,22,22,22
2160,C2,56,14,10,10
2160,C3,60,10,10,10
2160,C4,57,11,11,11
2160,C5,57,11,11,11
2160,D0,24,22,22,22
2160,D1,20,20,30,20
2160,D2,45,15,15,15
2160,D3,24,22,22,22
2160,D4,24,22,22,22
2160,D5,12,12,54,12
2160,E0,24,22,22,22
2160,E1,24,22,22,22
2160,E2,24,22,22,22
2160,E3,60,10,10,10
2160,E4,11,11,57,11
2160,E5,10,10,60,10
2160,F0,24,22,22,22
2160,F1,24,22,22,22
2160,F2,60,10,10,10
2160,F3,60,10,10,10
2160,F4,24,22,22,22
2160,F5,10,60,10,10
2250,A0,54,12,12,12
2250,A1,24,22,22,22
2250,A2,11,11,57,11
2250,A4,60,10,10,10
2250,A5,27,21,21,21
2250,B0,24,22,22,22
2250,B1,22,24,22,22
2250,B2,24,22,22,22
2250,B4,24,22,22,22
2250,B5,60,10,10,10
2250,C0,21,21,27,21
2250,C1,24,22,22,22
2250,C2,57,13,10,10
2250,C3,60,10,10,10
2250,C4,60,10,10,10
2250,C5,57,11,11,11
2250,D0,24,22,22,22
2250,D1,20,20,30,20
2250,D2,48,14,14,14
2250,D3,24,22,22,22
2250,D4,24,22,22,22
2250,D5,13,13,51,13
2250,E0,24,22,22,22
2250,E1,24,22,22,22
2250,E2,24,22,22,22
2250,E3,60,10,10,10
2250,E4,11,11,57,11
2250,E5,10,10,60,10
2250,F0,24,22,22,22
2250,F1,24,22,22,22
2250,F2,60,10,10,10
2250,F3,60,10,10,10
2250,F4,24,22,22,22
2250,F5,10,60,10,10
2340,A0,51,13,13,13
2340,A1,24,22,22,22
2340,A2,11,11,57,11
2340,A4,60,10,10,10
2340,A5,30,20,20,20
2340,B0,24,22,22,22
2340,B1,21,27,21,21
2340,B2,24,22,22,22
2340,B4,24,22,22,22
2340,B5,60,10,10,10
2340,C0,21,21,27,21
2340,C1,24,22,22,22
2340,C2,58,12,10,10
2340,C3,60,10,10,10
2340,C4,60,10,10,10
2340,C5,57,11,11,11
2340,D0,24,22,22,22
2340,D1,19,19,33,19
2340,D2,45,15,15,15
2340,D3,24,22,22,22
2340,D4,24,22,22,22
2340,D5,13,13,51,13
2340,E0,24,22,22,22
2340,E1,24,22,22,22
2340,E2,24,22,22,22
2340,E3,60,10,10,10
2340,E4,11,11,57,11
2340,E5,10,10,60,10
2340,F0,24,22,22,22
2340,F1,24,22,22,22
2340,F2,60,10,10,10
2340,F3,60,10,10,10
2340,F4,24,22,22,22
2340,F5,10,60,10,10
2430,A0,54,12,12,12
2430,A1,24,22,22,22
2430,A2,11,11,57,11
2430,A4,60,10,10,10
2430,A5,27,21,21,21
2430,B0,24,22,22,22
2430,B1,21,27,21,21
2430,B2,24,22,22,22
2430,B4,24,22,22,22
2430,B5,60,10,10,10
2430,C0,22,22,24,22
2430,C1,24,22,22,22
2430,C2,57,13,10,10
2430,C3,60,10,10,10
2430,C4,60,10,10,10
2430,C5,57,11,11,11
2430,D0,24,22,22,22
2430,D1,20,20,30,20
2430,D2,45,15,15,15
2430,D3,24,22,22,22
2430,D4,24,22,22,22
2430,D5,13,13,51,13
2430,E0,24,22,22,22
2430,E1,24,22,22,22
2430,E2,24,22,22,22
2430,E3,60,10,10,10
2430,E4,11,11,57,11
2430,E5,10,10,60,10
2430,F0,24,22,22,22
2430,F1,24,22,22,22
2430,F2,60,10,10,10
2430,F3,60,10,10,10
2430,F4,24,22,22,22
2430,F5,10,60,10,10
2520,A0,54,12,12,12
2520,A1,24,22,22,22
2520,A2,11,11,57,11
2520,A4,60,10,10,10
2520,A5,27,21,21,21
2520,B0,24,22,22,22
2520,B1,21,27,21,21
2520,B2,24,22,22,22
2520,B4,24,22,22,22
2520,B5,60,10,10,10
2520,C0,22,22,24,22
2520,C1,24,22,22,22
2520,C2,57,13,10,10
2520,C3,60,10,10,10
2520,C4,60,10,10,10
2520,C5,57,11,11,11
2520,D0,24,22,22,22
2520,D1,20,20,30,20
2520,D2,48,14,14,14
2520,D3,24,22,22,22
2520,D4,24,22,22,22
2520,D5,13,13,51,13
2520,E0,24,22,22,22
2520,E1,24,22,22,22
2520,E2,24,22,22,22
2520,E3,60,10,10,10
2520,E4,11,11,57,11
2520,E5,10,10,60,10
2520,F0,24,22,22,22
2520,F1,24,22,22,22
2520,F2,60,10,10,10
2520,F3,60,10,10,10
2520,F4,24,22,22,22
2520,F5,10,60,10,10
2610,A0,51,13,13,13
2610,A1,24,22,22,22
2610,A2,11,11,57,11
2610,A4,60,10,10,10
2610,A5,27,21,21,21
2610,B0,24,22,22,22
2610,B1,24,22,22,22
2610,B2,24,22,22,22
2610,B4,24,22,22,22
2610,B5,60,10,10,10
2610,C0,21,21,27,21
2610,C1,24,22,22,22
2610,C2,57,13,10,10
2610,C3,60,10,10,10
2610,C4,60,10,10,10
2610,C5,57,11,11,11
2610,D0,24,22,22,22
2610,D1,21,21,27,21
2610,D2,48,14,14,14
2610,D3,24,22,22,22
2610,D4,24,22,22,22
2610,D5,12,12,54,12
2610,E0,24,22,22,22
2610,E1,24,22,22,22
2610,E2,24,22,22,22
2610,E3,60,10,10,10
2610,E4,11,11,57,11
2610,E5,10,10,60,10
2610,F0,24,22,22,22
2610,F1,24,22,22,22
2610,F2,60,10,10,10
2610,F3,60,10,10,10
2610,F4,24,22,22,22
2610,F5,10,60,10,10
2700,A0,51,13,13,13
2700,A1,24,22,22,22
2700,A2,11,11,57,11
