checkpoint, Throughput, Average duration
rl_traffic_model_2379776_steps.zip, 8104.00, 678.80
rl_traffic_model_2383872_steps.zip, 8258.00, 636.30
rl_traffic_model_2387968_steps.zip, 8119.00, 681.60
rl_traffic_model_2392064_steps.zip, 8485.00, 605.40
rl_traffic_model_2396160_steps.zip, 8194.00, 663.90
rl_traffic_model_2400256_steps.zip, 8498.00, 621.00
rl_traffic_model_2404352_steps.zip, 8445.00, 610.90
rl_traffic_model_2408448_steps.zip, 8352.00, 625.90
rl_traffic_model_2412544_steps.zip, 8219.00, 652.60
rl_traffic_model_2416640_steps.zip, 8249.00, 657.60
rl_traffic_model_2420736_steps.zip, 8483.00, 620.50
rl_traffic_model_2424832_steps.zip, 8370.00, 652.70
rl_traffic_model_2428928_steps.zip, 8413.00, 627.10
rl_traffic_model_2433024_steps.zip, 8352.00, 625.30
rl_traffic_model_2437120_steps.zip, 8434.00, 640.40
rl_traffic_model_2441216_steps.zip, 8599.00, 592.40
